,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,402.962963,980.8695652,423.1111111,1043.478261,337.4814815,1053.913043,241.7777778,1137.391304,307.2592593,1220.869565,508.7407407,1033.043478,614.5185185,1137.391304,544,1252.173913,392.8888889,1252.173913,312.2962963,1293.913043,342.5185185,1513.043478,493.6296296,1262.608696,508.7407407,1314.782609,493.6296296,1513.043478,387.8518519,960,418.0740741,960,362.6666667,980.8695652,453.3333333,960
11,397.9259259,970.4347826,418.0740741,1043.478261,337.4814815,1053.913043,236.7407407,1137.391304,302.2222222,1220.869565,498.6666667,1033.043478,609.4814815,1137.391304,549.037037,1252.173913,387.8518519,1262.608696,312.2962963,1293.913043,342.5185185,1513.043478,493.6296296,1262.608696,513.7777778,1314.782609,493.6296296,1513.043478,382.8148148,960,413.037037,960,362.6666667,980.8695652,448.2962963,970.4347826
12,392.8888889,980.8695652,418.0740741,1053.913043,327.4074074,1053.913043,241.7777778,1137.391304,302.2222222,1231.304348,503.7037037,1043.478261,609.4814815,1147.826087,549.037037,1252.173913,382.8148148,1262.608696,312.2962963,1304.347826,342.5185185,1513.043478,493.6296296,1273.043478,513.7777778,1304.347826,493.6296296,1502.608696,377.7777778,960,413.037037,960,352.5925926,980.8695652,448.2962963,970.4347826
13,392.8888889,980.8695652,413.037037,1053.913043,322.3703704,1053.913043,236.7407407,1137.391304,302.2222222,1220.869565,493.6296296,1043.478261,609.4814815,1137.391304,549.037037,1262.608696,382.8148148,1273.043478,312.2962963,1293.913043,347.5555556,1513.043478,493.6296296,1283.478261,,,,,377.7777778,960,408,960,352.5925926,980.8695652,443.2592593,970.4347826
14,387.8518519,980.8695652,408,1053.913043,322.3703704,1053.913043,236.7407407,1137.391304,302.2222222,1231.304348,493.6296296,1043.478261,609.4814815,1137.391304,549.037037,1262.608696,382.8148148,1273.043478,312.2962963,1304.347826,347.5555556,1513.043478,503.7037037,1293.913043,,,,,372.7407407,960,408,960,347.5555556,980.8695652,443.2592593,970.4347826
15,387.8518519,970.4347826,408,1043.478261,317.3333333,1053.913043,231.7037037,1126.956522,302.2222222,1231.304348,493.6296296,1033.043478,609.4814815,1137.391304,544,1262.608696,382.8148148,1262.608696,312.2962963,1304.347826,342.5185185,1513.043478,503.7037037,1293.913043,,,,,372.7407407,949.5652174,402.962963,949.5652174,347.5555556,970.4347826,443.2592593,960
16,382.8148148,970.4347826,408,1043.478261,317.3333333,1043.478261,231.7037037,1126.956522,297.1851852,1231.304348,493.6296296,1033.043478,604.4444444,1126.956522,533.9259259,1252.173913,377.7777778,1262.608696,312.2962963,1304.347826,342.5185185,1513.043478,498.6666667,1273.043478,493.6296296,1293.913043,493.6296296,1513.043478,367.7037037,949.5652174,397.9259259,939.1304348,342.5185185,960,438.2222222,949.5652174
17,377.7777778,949.5652174,408,1033.043478,312.2962963,1033.043478,226.6666667,1126.956522,297.1851852,1231.304348,493.6296296,1022.608696,599.4074074,1126.956522,533.9259259,1252.173913,372.7407407,1262.608696,312.2962963,1293.913043,337.4814815,1513.043478,473.4814815,1262.608696,498.6666667,1293.913043,488.5925926,1513.043478,362.6666667,928.6956522,397.9259259,928.6956522,342.5185185,939.1304348,438.2222222,928.6956522
18,377.7777778,928.6956522,402.962963,1012.173913,312.2962963,1012.173913,231.7037037,1116.521739,292.1481481,1231.304348,488.5925926,1001.73913,594.3703704,1116.521739,523.8518519,1252.173913,372.7407407,1252.173913,312.2962963,1304.347826,337.4814815,1513.043478,468.4444444,1241.73913,498.6666667,1293.913043,488.5925926,1513.043478,362.6666667,907.826087,397.9259259,907.826087,342.5185185,918.2608696,433.1851852,907.826087
19,377.7777778,897.3913043,402.962963,991.3043478,307.2592593,991.3043478,236.7407407,1106.086957,292.1481481,1220.869565,488.5925926,991.3043478,584.2962963,1106.086957,508.7407407,1252.173913,367.7037037,1231.304348,312.2962963,1304.347826,337.4814815,1502.608696,463.4074074,1231.304348,493.6296296,1314.782609,493.6296296,1513.043478,362.6666667,876.5217391,392.8888889,876.5217391,337.4814815,886.9565217,433.1851852,886.9565217
20,377.7777778,876.5217391,402.962963,970.4347826,312.2962963,970.4347826,246.8148148,1095.652174,297.1851852,1220.869565,493.6296296,970.4347826,574.2222222,1106.086957,503.7037037,1252.173913,362.6666667,1231.304348,312.2962963,1304.347826,337.4814815,1513.043478,463.4074074,1220.869565,493.6296296,1325.217391,488.5925926,1513.043478,362.6666667,855.6521739,392.8888889,845.2173913,337.4814815,866.0869565,433.1851852,845.2173913
21,382.8148148,834.7826087,402.962963,939.1304348,312.2962963,939.1304348,261.9259259,1074.782609,297.1851852,1210.434783,493.6296296,949.5652174,564.1481481,1085.217391,508.7407407,1231.304348,357.6296296,1200,312.2962963,1314.782609,332.4444444,1513.043478,468.4444444,1179.130435,498.6666667,1314.782609,488.5925926,1513.043478,367.7037037,813.9130435,397.9259259,813.9130435,342.5185185,834.7826087,438.2222222,824.3478261
22,387.8518519,803.4782609,402.962963,918.2608696,312.2962963,918.2608696,266.962963,1053.913043,302.2222222,1200,498.6666667,918.2608696,549.037037,1064.347826,508.7407407,1210.434783,352.5925926,1179.130435,312.2962963,1314.782609,337.4814815,1513.043478,468.4444444,1168.695652,498.6666667,1314.782609,488.5925926,1523.478261,367.7037037,782.6086957,402.962963,782.6086957,342.5185185,803.4782609,438.2222222,793.0434783
23,387.8518519,772.173913,402.962963,886.9565217,317.3333333,897.3913043,277.037037,1053.913043,307.2592593,1179.130435,498.6666667,897.3913043,533.9259259,1043.478261,508.7407407,1189.565217,357.6296296,1158.26087,317.3333333,1304.347826,337.4814815,1513.043478,463.4074074,1147.826087,493.6296296,1304.347826,483.5555556,1513.043478,372.7407407,751.3043478,402.962963,751.3043478,347.5555556,782.6086957,438.2222222,761.7391304
24,392.8888889,751.3043478,408,866.0869565,317.3333333,876.5217391,287.1111111,1033.043478,312.2962963,1168.695652,498.6666667,866.0869565,528.8888889,1033.043478,503.7037037,1158.26087,357.6296296,1147.826087,327.4074074,1304.347826,342.5185185,1513.043478,468.4444444,1126.956522,493.6296296,1304.347826,483.5555556,1502.608696,377.7777778,730.4347826,408,730.4347826,352.5925926,751.3043478,443.2592593,751.3043478
25,392.8888889,720,408,845.2173913,322.3703704,855.6521739,297.1851852,1001.73913,322.3703704,1147.826087,498.6666667,845.2173913,523.8518519,991.3043478,498.6666667,1126.956522,362.6666667,1126.956522,327.4074074,1304.347826,342.5185185,1513.043478,468.4444444,1116.521739,483.5555556,1293.913043,478.5185185,1492.173913,377.7777778,709.5652174,408,699.1304348,352.5925926,740.8695652,443.2592593,730.4347826
26,397.9259259,699.1304348,413.037037,824.3478261,322.3703704,834.7826087,297.1851852,991.3043478,327.4074074,1126.956522,503.7037037,824.3478261,528.8888889,970.4347826,493.6296296,1106.086957,362.6666667,1116.521739,332.4444444,1304.347826,337.4814815,1502.608696,473.4814815,1095.652174,483.5555556,1293.913043,478.5185185,1492.173913,382.8148148,688.6956522,413.037037,688.6956522,357.6296296,720,448.2962963,709.5652174
27,397.9259259,688.6956522,413.037037,813.9130435,327.4074074,813.9130435,297.1851852,970.4347826,332.4444444,1116.521739,503.7037037,803.4782609,528.8888889,960,493.6296296,1095.652174,367.7037037,1106.086957,337.4814815,1293.913043,342.5185185,1502.608696,473.4814815,1095.652174,488.5925926,1283.478261,478.5185185,1492.173913,387.8518519,678.2608696,413.037037,667.826087,357.6296296,709.5652174,448.2962963,688.6956522
28,402.962963,678.2608696,413.037037,803.4782609,327.4074074,803.4782609,302.2222222,960,337.4814815,1095.652174,508.7407407,793.0434783,538.962963,949.5652174,488.5925926,1085.217391,367.7037037,1106.086957,337.4814815,1293.913043,342.5185185,1502.608696,478.5185185,1085.217391,493.6296296,1273.043478,478.5185185,1492.173913,387.8518519,657.3913043,423.1111111,657.3913043,362.6666667,688.6956522,453.3333333,678.2608696
29,402.962963,667.826087,418.0740741,793.0434783,327.4074074,803.4782609,302.2222222,970.4347826,337.4814815,1085.217391,508.7407407,793.0434783,544,928.6956522,488.5925926,1074.782609,367.7037037,1106.086957,342.5185185,1293.913043,337.4814815,1502.608696,478.5185185,1085.217391,493.6296296,1283.478261,483.5555556,1502.608696,387.8518519,657.3913043,423.1111111,646.9565217,362.6666667,678.2608696,453.3333333,667.826087
30,408,657.3913043,418.0740741,782.6086957,327.4074074,793.0434783,297.1851852,960,337.4814815,1074.782609,508.7407407,793.0434783,554.0740741,918.2608696,493.6296296,1064.347826,367.7037037,1106.086957,342.5185185,1293.913043,332.4444444,1502.608696,478.5185185,1085.217391,488.5925926,1283.478261,488.5925926,1502.608696,392.8888889,646.9565217,423.1111111,636.5217391,362.6666667,678.2608696,458.3703704,667.826087
31,408,657.3913043,418.0740741,782.6086957,327.4074074,793.0434783,297.1851852,949.5652174,337.4814815,1074.782609,508.7407407,782.6086957,554.0740741,928.6956522,498.6666667,1064.347826,372.7407407,1095.652174,342.5185185,1304.347826,337.4814815,1502.608696,478.5185185,1085.217391,488.5925926,1283.478261,488.5925926,1502.608696,392.8888889,646.9565217,423.1111111,636.5217391,367.7037037,667.826087,453.3333333,667.826087
32,413.037037,646.9565217,418.0740741,782.6086957,332.4444444,782.6086957,302.2222222,949.5652174,332.4444444,1064.347826,508.7407407,782.6086957,554.0740741,928.6956522,498.6666667,1064.347826,372.7407407,1095.652174,347.5555556,1293.913043,332.4444444,1513.043478,483.5555556,1074.782609,488.5925926,1283.478261,488.5925926,1502.608696,397.9259259,636.5217391,423.1111111,626.0869565,367.7037037,667.826087,453.3333333,657.3913043
